	id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
gene-YEL026W	gene-YEL026W	2038.49812483679	5.36791764947263	0.409763477773579	13.1000392681135	3.29087355220775e-39	8.69388958428703e-37
gene-YOR359W	gene-YOR359W	477.945924501065	6.35696661366003	0.486217756925391	13.0743201438353	4.61673044343755e-39	1.16662771031561e-36
gene-YHR066W	gene-YHR066W	1305.51878097384	5.58287922317847	0.428109064226108	13.0407872425468	7.17127330051884e-39	1.73664335094231e-36
gene-YGR079W	gene-YGR079W	1514.38027562165	5.32835399598833	0.40928062603036	13.0188278093405	9.56276053702422e-39	2.22315056964739e-36
gene-YIR012W	gene-YIR012W	1539.3778135534	5.33199982733373	0.41462408456094	12.8598410605596	7.5732228866672e-38	1.69290659297345e-35
gene-YOL041C	gene-YOL041C	1901.43930080129	5.68972191443695	0.443825658366024	12.8197228059866	1.27154283566498e-37	2.63935962888746e-35
gene-YJL148W	gene-YJL148W	1277.94006288366	5.22651322499338	0.407676900491561	12.8202339124229	1.26318868182856e-37	2.63935962888746e-35
gene-YLR327C	gene-YLR327C	14476.813845805	-5.02497589252694	0.392678159984802	-12.7966778002663	1.71116425082922e-37	3.42940918131705e-35
gene-YOL151W	gene-YOL151W	10482.8528490074	5.98037302612435	0.470039012063553	12.723141851289	4.39813423874508e-37	8.52065206519546e-35
gene-YBL028C	gene-YBL028C	858.086555634266	5.39167649260215	0.424119500498388	12.712635203678	5.03100117885488e-37	9.43231575854986e-35
gene-YOL080C	gene-YOL080C	383.022529413626	6.25206670886751	0.492059850567311	12.7059070185452	5.4829998326364e-37	9.95849844602586e-35
gene-YDL063C	gene-YDL063C	1078.81969040012	5.56272406433339	0.439076057430193	12.669158270416	8.76498526750586e-37	1.5436998295377e-34
gene-YML018C	gene-YML018C	802.136865039722	5.83720828418179	0.461165482631987	12.6575134176725	1.01668859564929e-36	1.73793944644519e-34
gene-YHR196W	gene-YHR196W	1195.97280606714	5.15826105743646	0.408087990508169	12.6400707137036	1.2693973818085e-36	2.10792502373458e-34
gene-YNR060W	gene-YNR060W	1990.41838829143	6.43185922202502	0.511052258525415	12.5855215679575	2.53661803734793e-36	4.09522889807394e-34
gene-YPL212C	gene-YPL212C	1385.38382215345	5.22745302480147	0.418701382182224	12.4849194372289	9.02346274655249e-36	1.41741528332333e-33
gene-YBL039C	gene-YBL039C	2044.41578406199	6.18479338271991	0.496510753246939	12.4565144707831	1.28881436924939e-35	1.97120766159932e-33
gene-YLR264C-A	gene-YLR264C-A	400.248635981582	6.38284723747451	0.513761955166445	12.4237444467967	1.94252227464958e-35	2.8948562718624e-33
gene-YJR063W	gene-YJR063W	779.813087802612	5.28313891849568	0.425401745708524	12.4191754542436	2.05670263620469e-35	2.98838893040541e-33
gene-YDR037W	gene-YDR037W	4853.79395847213	5.21348113390572	0.423782358624674	12.3022608841608	8.80738669057006e-35	1.24850076696569e-32
gene-YNL182C	gene-YNL182C	617.684630765346	5.51250066732519	0.453063536173128	12.1671691213276	4.64928684161783e-34	6.43372741035306e-32
gene-YDR449C	gene-YDR449C	839.750805240849	5.17949173691496	0.427101561298562	12.1270728235392	7.59147581673932e-34	1.02608505690439e-31
gene-YMR093W	gene-YMR093W	864.330009172749	5.18753148030659	0.429616202860649	12.074804082725	1.43505627294591e-33	1.89557887690037e-31
gene-YLR224W	gene-YLR224W	721.5466455588	5.09717943420429	0.422221596117067	12.0722849827677	1.47967786553284e-33	1.91108616766153e-31
gene-YJL069C	gene-YJL069C	727.916760733359	5.18254207382685	0.430622219678302	12.0350084993257	2.32610069369007e-33	2.93897765907102e-31
gene-YKR097W	gene-YKR097W	21617.210237944	-4.70702265033623	0.39281637202517	-11.9827557748398	4.37533452850438e-33	5.41052005950372e-31
gene-YBR105C	gene-YBR105C	2415.01360891287	4.91950199331661	0.415084786988521	11.8518002767773	2.10616806288051e-32	2.55021849613782e-30
gene-YNL248C	gene-YNL248C	1315.18220278787	5.28812159350006	0.448580088919743	11.7885785038626	4.47022266207771e-32	5.30223145142769e-30
